id,threshold,text_pixels,context_pixels,mask_fill_ratio,refined_mask_fill_ratio,refined_mask_iou,refined_mask_precision,refined_mask_recall,expanded_mask_fill_ratio,expanded_mask_iou,expanded_mask_precision,expanded_mask_recall,refined_eroded_fill_ratio,refined_eroded_iou,refined_eroded_precision,refined_eroded_recall,refined_eroded_twice_fill_ratio,refined_eroded_twice_iou,refined_eroded_twice_precision,refined_eroded_twice_recall,refined_mask_fallback,pipeline_flat_background_used,legacy_fast_path,fixed_fast_path,legacy_outside_modified_ratio,fixed_outside_modified_ratio,pipeline_outside_modified_ratio,input_outside_mae,legacy_outside_mae,fixed_outside_mae,legacy_text_mae,fixed_text_mae,pipeline_outside_mae,pipeline_text_mae,legacy_context_psnr,fixed_context_psnr,pipeline_context_psnr,telea_r2_text_mae,telea_r2_context_psnr,telea_r3_text_mae,telea_r3_context_psnr,ns_r2_text_mae,ns_r2_context_psnr,ns_r3_text_mae,ns_r3_context_psnr,vertical_text_mae,vertical_context_psnr,vertical_telea_25_text_mae,vertical_telea_25_context_psnr,vertical_telea_50_text_mae,vertical_telea_50_context_psnr,vertical_telea_75_text_mae,vertical_telea_75_context_psnr,outside_mae_improvement,context_psnr_improvement
1345,48,7210,12987,0.555171,0.769308,0.631509,0.6664,0.92344,0.795334,0.636253,0.660277,0.945908,0.637484,0.649696,0.736804,0.846047,0.518442,0.635351,0.804545,0.751318,False,False,False,False,0.0,0.0,0.607236,0.790029,0.790029,0.790029,46.55349,44.58197,31.234146,49.537632,15.06376,15.577166,13.130204,46.55349,15.06376,44.903606,15.42224,47.075634,14.963013,45.917107,15.216057,54.771984,13.957845,44.605873,15.5732,46.25423,15.330481,49.800461,14.753651,0.0,0.513406
1346,48,3181,8436,0.377074,0.563182,0.610885,0.63313,0.945615,0.57302,0.621485,0.635499,0.965734,0.481626,0.637432,0.694068,0.886514,0.403746,0.621615,0.741339,0.793776,False,False,False,False,0.0,0.0,0.330162,1.377735,1.377735,1.377735,10.991302,10.190716,4.981034,14.207691,27.328105,27.812475,22.664439,10.991302,27.328105,10.190716,27.812475,12.123337,26.832257,11.452374,27.243546,13.671802,25.372901,10.264382,27.65809,10.904327,27.115928,12.087918,26.306365,0.0,0.48437
1347,44,6326,11700,0.540684,0.74265,0.661503,0.687996,0.944989,0.754103,0.670968,0.689448,0.961587,0.633504,0.695631,0.760389,0.890926,0.536838,0.705954,0.8306,0.824692,False,False,True,False,1.0,0.0,0.50521,0.569532,20.4902,0.569532,16.50548,13.157393,7.965141,15.388871,19.023141,23.126476,20.651136,13.530931,22.772482,13.384814,22.855408,13.491622,22.824025,13.357045,22.959826,14.98024,22.52003,13.153125,23.12831,13.40705,23.157137,14.045631,22.943715,19.920668,4.103335
1348,48,6568,13659,0.480855,0.522805,0.867457,0.891752,0.969549,0.538692,0.863509,0.877005,0.982491,0.446738,0.811035,0.929859,0.863886,0.372136,0.704359,0.947275,0.7331,False,False,False,False,0.0,0.0,0.126357,1.387298,1.387298,1.387298,14.109724,13.080288,1.604992,11.132867,24.825748,25.535596,25.486088,14.109724,24.825748,13.360992,25.336089,15.2567,24.339753,14.619671,24.726858,14.241169,24.394295,13.106983,25.52728,13.156262,25.41036,13.500761,25.00965,0.0,0.709848
1349,48,4425,10164,0.43536,0.651614,0.611435,0.632946,0.947345,0.675915,0.608516,0.62198,0.96565,0.532763,0.616294,0.69289,0.84791,0.424833,0.590504,0.751737,0.733559,False,False,False,False,0.0,0.0,0.449381,2.033513,2.033513,2.033513,17.374012,16.202259,9.165301,17.195856,23.439264,24.061033,21.194028,17.374012,23.439264,16.780565,23.718737,17.923466,23.359409,17.604067,23.482342,18.125574,23.285541,16.227495,24.052559,16.192467,24.089153,16.788475,23.815781,0.0,0.621769
1350,48,6403,10948,0.584856,0.780599,0.680796,0.708519,0.94565,0.790281,0.692143,0.711743,0.961737,0.679302,0.70822,0.771548,0.896142,0.584308,0.719506,0.837267,0.836483,False,False,False,False,0.0,0.0,0.547635,0.554089,0.554089,0.554089,23.366339,23.257483,17.753208,22.574158,20.181806,20.518377,18.226394,23.366339,20.181806,23.551096,20.207383,22.565256,20.480959,22.706024,20.459441,25.133688,20.47622,23.215992,20.533316,23.470978,20.695157,24.13327,20.675832,0.0,0.336571
1351,48,8510,17640,0.482426,0.556066,0.729186,0.787542,0.907756,0.570465,0.75217,0.792308,0.936898,0.487018,0.714214,0.829356,0.83725,0.419218,0.679337,0.870047,0.756052,False,False,True,False,0.994852,0.0,0.22552,0.682183,4.990179,0.682183,3.942421,2.179867,1.060058,3.806345,32.862185,41.634038,37.357022,2.34011,41.040483,2.265335,41.36385,2.031375,42.01728,1.990599,42.176379,2.764317,39.932878,2.163651,41.693275,2.223776,41.505045,2.43537,40.863587,4.307996,8.771853
1352,48,7670,17856,0.429547,0.506888,0.659323,0.734063,0.866232,0.570172,0.654862,0.693841,0.920991,0.392641,0.583199,0.771359,0.705085,0.284778,0.461724,0.79233,0.525293,False,False,True,False,1.0,0.0,0.303652,1.333202,42.772434,1.333202,51.514774,16.727684,7.075725,17.208561,12.823104,23.17392,21.233537,15.921817,23.044097,15.746284,23.185579,16.750065,22.813784,16.541504,22.926679,23.615253,20.87327,16.773056,23.161204,18.629162,22.67407,20.953108,21.858458,41.439232,10.350816
1353,48,7220,15283,0.47242,0.399136,0.670219,0.87623,0.740305,0.702545,0.672441,0.672441,1.0,0.295688,0.539339,0.910157,0.569668,0.199503,0.388078,0.94162,0.397645,False,False,True,False,0.989334,0.0,0.420811,0.401339,7.859399,0.401339,5.574977,5.021191,4.622514,7.340259,25.79153,32.194913,26.157006,5.399076,31.114519,5.202955,31.676833,5.429779,30.885779,5.334672,31.105894,6.492475,29.822928,5.034395,32.180146,5.297923,31.931025,5.788919,31.041048,7.45806,6.403383
1354,48,4765,9681,0.492201,0.48745,0.694176,0.82348,0.81553,0.731226,0.673118,0.673118,1.0,0.377647,0.595188,0.859409,0.659391,0.276108,0.46996,0.889637,0.499056,False,False,True,False,0.967453,0.0,0.455248,1.225454,55.580959,1.225454,70.830147,4.487373,3.909547,5.188737,10.491133,29.575869,27.14351,5.126897,28.585897,4.80063,29.204727,5.235607,28.621355,4.990906,28.982057,4.989717,28.04646,4.479188,29.56605,4.391746,29.449252,4.537601,28.897706,54.355505,19.084736
