id,threshold,text_pixels,context_pixels,mask_fill_ratio,refined_mask_fill_ratio,refined_mask_iou,refined_mask_precision,refined_mask_recall,expanded_mask_fill_ratio,expanded_mask_iou,expanded_mask_precision,expanded_mask_recall,refined_eroded_fill_ratio,refined_eroded_iou,refined_eroded_precision,refined_eroded_recall,refined_eroded_twice_fill_ratio,refined_eroded_twice_iou,refined_eroded_twice_precision,refined_eroded_twice_recall,refined_mask_fallback,pipeline_flat_background_used,legacy_fast_path,fixed_fast_path,legacy_outside_modified_ratio,fixed_outside_modified_ratio,pipeline_outside_modified_ratio,input_outside_mae,legacy_outside_mae,fixed_outside_mae,legacy_text_mae,fixed_text_mae,pipeline_outside_mae,pipeline_text_mae,legacy_context_psnr,fixed_context_psnr,pipeline_context_psnr,telea_r2_text_mae,telea_r2_context_psnr,telea_r3_text_mae,telea_r3_context_psnr,ns_r2_text_mae,ns_r2_context_psnr,ns_r3_text_mae,ns_r3_context_psnr,vertical_text_mae,vertical_context_psnr,vertical_telea_25_text_mae,vertical_telea_25_context_psnr,vertical_telea_50_text_mae,vertical_telea_50_context_psnr,vertical_telea_75_text_mae,vertical_telea_75_context_psnr,outside_mae_improvement,context_psnr_improvement
729,48,10563,20016,0.527728,0.689448,0.739345,0.750435,0.980403,0.76309,0.688472,0.689734,0.997349,0.619604,0.780371,0.811643,0.952949,0.548062,0.7399,0.834731,0.866894,False,False,False,False,0.0,0.0,0.497831,1.128813,1.128813,1.128813,13.425983,13.391997,7.776191,20.608223,22.98631,23.146458,19.470604,13.425983,22.98631,13.391997,23.146458,13.508852,22.872307,13.457446,22.964732,15.551011,22.160931,13.214144,23.399337,13.598977,23.291438,14.354256,22.847509,0.0,0.160148
730,48,6972,14663,0.475483,0.516197,0.662399,0.765491,0.831038,0.670531,0.699777,0.703621,0.992255,0.414376,0.597845,0.803489,0.700229,0.318693,0.508224,0.839718,0.562823,False,False,False,False,0.0,0.0,0.345989,1.126295,1.126295,1.126295,25.790783,26.660738,15.200711,44.470501,18.568536,18.518173,13.454479,25.790783,18.568536,26.660738,18.518173,26.103222,18.418557,26.856665,18.328296,43.555889,15.252039,29.750143,18.093448,33.910213,17.299382,38.534565,16.308337,0.0,-0.050363
731,48,7741,16490,0.469436,0.56507,0.674914,0.737712,0.887999,0.706671,0.66415,0.664207,0.999871,0.470467,0.667276,0.799562,0.801318,0.387386,0.626079,0.851597,0.702752,False,False,False,False,0.0,0.0,0.407818,0.813502,0.813502,0.813502,12.710072,12.539293,7.947423,17.791542,24.788928,24.939681,20.172609,12.710072,24.788928,12.539293,24.939681,12.712398,24.924964,12.577918,25.072181,17.072342,23.100531,12.68049,25.007009,13.606511,24.657613,15.134995,23.976513,0.0,0.150753
732,48,6819,13230,0.51542,0.566818,0.746098,0.815842,0.897199,0.670975,0.765182,0.766475,0.9978,0.490401,0.723705,0.861128,0.819328,0.415646,0.675918,0.903437,0.728553,False,False,True,False,1.0,0.0,0.261582,0.476993,6.214735,0.476993,5.660018,2.642714,5.072376,6.817715,29.138817,36.250299,19.027738,2.967737,35.162687,2.642714,36.250299,2.474899,35.693014,2.274771,36.37162,1.9628,37.066533,2.159603,37.591757,1.862785,38.350528,1.769077,38.130191,5.737742,7.111482
733,48,8248,16762,0.492065,0.544446,0.698504,0.782928,0.866271,0.652428,0.754206,0.754206,1.0,0.468023,0.669225,0.822435,0.78225,0.394822,0.624877,0.863856,0.693138,False,False,True,False,1.0,0.0,0.244891,0.447537,65.459045,0.447537,67.82933,7.850832,3.893235,10.211486,10.246754,25.79395,22.665633,7.684893,25.660624,7.850832,25.79395,7.560419,25.926737,7.756143,25.822502,10.568057,24.362387,7.964314,25.872871,8.571371,25.618103,9.438894,25.087098,65.011508,15.547196
734,48,7318,15004,0.487737,0.537257,0.840474,0.871232,0.959688,0.653959,0.732403,0.738076,0.989615,0.454545,0.772345,0.903372,0.841897,0.376033,0.670318,0.921836,0.710713,False,False,False,False,0.0,0.0,0.321364,1.142727,1.142727,1.142727,22.402569,22.068598,11.744991,28.640339,20.595196,20.852183,16.748099,22.402569,20.595196,22.068598,20.852183,22.737268,20.565509,22.817619,20.57895,30.344357,18.310392,22.72365,20.807971,24.493031,20.260071,27.08823,19.367234,0.0,0.256987
735,48,9246,18336,0.504254,0.705443,0.700475,0.706378,0.988211,0.77187,0.651189,0.652017,0.998053,0.638253,0.750564,0.767496,0.971447,0.567954,0.740747,0.803342,0.904824,False,False,True,False,0.99945,0.0,0.494279,0.841621,63.801868,0.841621,82.699944,6.4885,6.419545,16.525236,8.321702,27.459888,18.219614,6.78625,26.915831,6.4885,27.459888,6.913728,26.912413,6.797786,27.137404,7.382616,27.526113,5.710722,28.820861,5.690857,29.406338,6.327889,28.866922,62.960247,19.138186
736,48,8740,15744,0.555132,0.749428,0.740741,0.740741,1.0,0.818534,0.678203,0.678203,1.0,0.678925,0.816643,0.817102,0.999314,0.606707,0.800571,0.851445,0.930549,False,False,False,False,0.0,0.0,0.58695,1.088093,1.088093,1.088093,10.692754,10.394012,7.331573,14.125782,25.170151,25.58052,22.461187,10.692754,25.170151,10.394012,25.58052,10.54508,25.140968,10.345042,25.365282,10.019566,25.945277,9.580053,26.23998,9.247598,26.553693,9.380435,26.447759,0.0,0.410369
737,48,11750,20976,0.560164,0.771358,0.725565,0.725834,0.999489,0.845156,0.662793,0.662793,1.0,0.702231,0.791004,0.793958,0.995319,0.630578,0.788799,0.832691,0.937362,False,False,False,False,0.0,0.0,0.641123,1.155575,1.155575,1.155575,28.963461,28.556028,18.614315,37.128143,17.945725,18.206312,14.89863,28.963461,17.945725,28.556028,18.206312,29.136086,17.867955,28.815744,18.048198,33.729389,17.042969,28.186184,18.365882,29.128965,18.193307,31.057873,17.723491,0.0,0.260587
738,48,6047,12582,0.480607,0.757511,0.564999,0.590074,0.930048,0.925926,0.518795,0.518884,0.999669,0.613416,0.583094,0.656906,0.838432,0.48625,0.566443,0.719026,0.727468,False,False,False,False,0.0,0.0,0.74736,1.530528,1.530528,1.530528,21.747147,20.378204,14.587197,19.315252,22.210346,22.799498,20.846084,21.747147,22.210346,20.378204,22.799498,22.308969,21.973952,21.591589,22.271084,23.486853,21.688691,20.235655,22.920482,20.744446,22.74993,21.854307,22.315128,0.0,0.589152
739,48,11772,19968,0.589543,0.759966,0.77575,0.77575,1.0,0.831831,0.70873,0.70873,1.0,0.686448,0.857747,0.858248,0.99932,0.610978,0.833002,0.892951,0.925416,False,False,False,False,0.0,0.0,0.587238,1.026314,1.026314,1.026314,14.050261,13.65231,8.636855,15.064277,25.18398,25.450712,23.229166,14.050261,25.18398,13.65231,25.450712,14.41208,24.925661,13.887671,25.26331,15.813342,24.064976,13.651235,25.427661,14.028458,25.157407,14.765545,24.682884,0.0,0.266732
740,48,5675,17045,0.332942,0.425227,0.705106,0.737307,0.941674,0.687709,0.484132,0.484132,1.0,0.317395,0.604429,0.771904,0.735859,0.21496,0.444324,0.784116,0.506256,False,False,True,False,0.526121,0.0,0.407828,0.693374,12.649693,0.693374,20.902321,8.523407,5.183788,12.071953,17.110378,26.596728,22.052944,8.449339,26.686456,8.523407,26.596728,8.155242,26.713536,8.264729,26.588007,7.118238,29.165405,7.672952,27.886297,6.988781,28.942698,6.781146,29.441224,11.956319,9.48635
741,48,10256,17520,0.585388,0.796005,0.734165,0.734691,0.999025,0.86661,0.675382,0.675426,0.999902,0.728253,0.794962,0.798887,0.993857,0.658562,0.7736,0.823886,0.926872,False,False,False,False,0.0,0.0,0.673733,1.146981,1.146981,1.146981,25.289976,24.958885,24.171806,34.248959,18.951435,19.212703,14.430809,25.289976,18.951435,24.958885,19.212703,25.320105,18.929302,24.744442,19.157764,30.53533,17.953532,24.966848,19.361549,26.002632,19.16485,27.896906,18.664887,0.0,0.261268
742,48,7397,15190,0.486965,0.767808,0.594445,0.609277,0.96066,0.887492,0.548698,0.548698,1.0,0.663134,0.635308,0.673781,0.917534,0.568664,0.657878,0.736629,0.860214,False,False,True,False,1.0,0.0,0.696779,0.355105,7.641473,0.355105,7.832004,7.266459,5.421404,7.663332,28.360214,31.209437,28.848108,7.412555,30.978941,7.266459,31.209437,7.566942,30.719258,7.481006,30.868358,8.523095,30.103116,7.199135,31.423676,7.406201,31.277833,7.860214,30.812181,7.286368,2.849223
743,48,9040,16560,0.545894,0.689432,0.791802,0.791802,1.0,0.763949,0.714568,0.714568,1.0,0.620954,0.876931,0.877954,0.998673,0.551872,0.83441,0.904804,0.914712,False,False,False,False,0.0,0.0,0.47859,0.915824,0.915824,0.915824,15.832191,15.76003,8.069326,19.211542,24.343755,24.444923,21.751355,15.832191,24.343755,15.76003,24.444923,15.514307,24.46425,15.447603,24.537283,16.669138,23.941331,15.3368,24.670669,15.379167,24.653776,15.836689,24.400003,0.0,0.101168
744,48,12569,21744,0.578045,0.760808,0.759778,0.759778,1.0,0.834759,0.692469,0.692469,1.0,0.691731,0.828114,0.831527,0.995067,0.621505,0.7992,0.857333,0.921792,False,False,False,False,0.0,0.0,0.604796,1.309428,1.309428,1.309428,22.173363,21.88331,16.136713,26.662132,19.615209,19.724427,16.541986,22.173363,19.615209,21.88331,19.724427,21.950964,19.676819,21.810459,19.742395,24.472937,19.051957,21.341078,19.96159,21.686636,19.915537,22.768372,19.594073,0.0,0.109218
745,48,6774,13717,0.49384,0.630969,0.718917,0.745581,0.952613,0.721149,0.684796,0.684796,1.0,0.553036,0.743988,0.80754,0.90434,0.479041,0.740123,0.863795,0.83791,False,False,True,False,0.999568,0.0,0.416967,0.511306,19.992558,0.511306,18.535479,8.80499,5.624898,10.417429,21.285556,28.663402,24.780062,9.239002,28.100713,8.80499,28.663402,9.191861,28.159323,8.951284,28.452296,9.004429,28.548851,8.206574,29.351877,8.000098,29.580164,8.241167,29.281137,19.481252,7.377846
746,48,8225,18384,0.4474,0.714317,0.614774,0.619175,0.988571,0.774695,0.5763,0.576745,0.998663,0.6547,0.663328,0.671319,0.982371,0.594321,0.697633,0.7203,0.956839,False,False,False,False,0.0,0.0,0.572891,0.881484,0.881484,0.881484,10.403566,10.312989,11.088722,19.162148,26.229819,26.363274,18.721101,10.403566,26.229819,10.312989,26.363274,10.748126,25.982938,10.60004,26.032818,13.273273,24.712255,10.294509,26.487042,10.88154,26.191706,11.914408,25.557325,0.0,0.133455
747,48,7587,15744,0.481898,0.720147,0.646941,0.655671,0.979834,0.793128,0.602459,0.604389,0.994728,0.649771,0.696534,0.715054,0.964149,0.578951,0.717606,0.765551,0.919731,False,False,True,False,1.0,0.0,0.595439,0.940501,39.407707,0.940501,58.722111,13.617284,13.778881,21.109617,9.438624,22.528975,16.144781,13.617548,22.282649,13.617284,22.528975,13.334168,22.314945,13.24085,22.474164,14.477263,21.15517,12.69641,22.945831,12.707877,22.798403,13.275998,22.137724,38.467206,13.090351
748,48,11060,21600,0.512037,0.76037,0.67259,0.672918,0.999277,0.82912,0.617386,0.617455,0.999819,0.695556,0.724106,0.729167,0.990506,0.628056,0.709783,0.753575,0.924322,False,False,False,False,0.0,0.0,0.62296,1.140481,1.140481,1.140481,20.686829,20.978632,22.4716,34.983696,19.159848,19.163817,13.228953,20.686829,19.159848,20.978632,19.163817,20.326914,19.302385,20.787222,19.158928,26.403616,18.344297,21.173477,19.527029,22.363834,19.48992,24.110338,19.061207,0.0,0.003969
749,48,5259,14036,0.374679,0.586706,0.577323,0.599757,0.939152,0.761613,0.491955,0.491955,1.0,0.448205,0.576146,0.671117,0.802814,0.33122,0.523136,0.731985,0.647081,False,False,False,False,0.0,0.0,0.564999,3.295127,3.295127,3.295127,18.856501,17.116117,5.773499,8.193509,23.525661,24.052255,25.52427,18.856501,23.525661,17.116117,24.052255,20.804779,23.003879,19.715471,23.325249,19.145845,23.299225,17.171009,24.051396,17.511503,23.915732,18.141218,23.659257,0.0,0.526594
750,48,9462,17280,0.547569,0.73912,0.740839,0.740839,1.0,0.806539,0.678912,0.678912,1.0,0.66875,0.809245,0.813517,0.993553,0.596586,0.760709,0.828596,0.902769,False,False,True,False,1.0,0.0,0.533129,2.024132,3.539609,2.024132,3.814063,10.176637,2.350772,4.279187,34.337084,27.997166,34.340548,10.722468,27.503069,10.176637,27.997166,9.865602,27.85115,9.64877,28.068822,5.793243,30.987983,8.587966,29.120766,7.158176,30.125229,6.081695,30.813491,1.515477,-6.339918
751,48,7393,15252,0.484723,0.607658,0.714095,0.748921,0.938861,0.701416,0.691064,0.691064,1.0,0.5278,0.738881,0.815155,0.887596,0.452662,0.73255,0.875579,0.817665,False,False,False,False,0.0,0.0,0.386563,0.364508,0.364508,0.364508,9.246855,9.055278,3.86771,9.261238,28.19138,28.457016,26.672423,9.246855,28.19138,9.055278,28.457016,9.163037,28.278986,9.050002,28.452063,10.037964,27.860305,8.855224,28.834433,8.985888,28.848176,9.373507,28.498838,0.0,0.265636
752,48,9555,18864,0.50652,0.770515,0.640003,0.646784,0.983883,0.837786,0.599836,0.60162,0.995081,0.71109,0.677917,0.691815,0.971219,0.649968,0.665979,0.71128,0.912716,False,False,False,False,0.0,0.0,0.66484,1.205393,1.205393,1.205393,36.183674,35.790791,42.626492,50.950218,16.462172,16.635018,10.634358,36.183674,16.462172,35.790791,16.635018,35.308285,16.63108,35.867119,16.575641,43.3498,15.066926,35.398781,16.773642,36.788731,16.50455,39.496494,15.895018,0.0,0.172846
